Player,Age,Pos,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,Salary
Khris Middleton,33,SF,37,22.8,11.9,3.7,4.1,0.9,0.2,0.475,0.361,31000000
Jalen Duren,21,C,78,26.1,11.8,10.3,2.7,0.7,1.1,0.692,,4536840
Donte DiVincenzo,28,SG,62,25.9,11.7,3.7,3.6,1.2,0.3,0.422,0.397,11445000
Brandin Podziemski,21,SG,64,26.8,11.7,5.1,3.4,1.1,0.2,0.445,0.372,3519960
Corey Kispert,25,SF,61,26.3,11.6,3.0,1.7,0.4,0.2,0.451,0.364,5705887
Jeremy Sochan,21,PF,54,25.3,11.4,6.5,2.4,0.8,0.5,0.535,0.308,5570040
Toumani Camara,24,PF,78,32.7,11.3,5.8,2.2,1.5,0.6,0.458,0.375,1891857
Isaiah Hartenstein,26,C,57,27.9,11.2,10.7,3.8,0.8,1.1,0.581,0.0,30000000
Buddy Hield,32,SG,82,22.7,11.1,3.2,1.6,0.8,0.3,0.417,0.37,8780488
Jrue Holiday,34,PG,62,30.6,11.1,4.3,3.9,1.1,0.4,0.443,0.353,30000000
Walker Kessler,23,C,58,30.0,11.1,12.2,1.7,0.6,2.4,0.663,0.176,2965920
Gary Trent Jr.,26,SG,74,25.6,11.1,2.3,1.2,1.0,0.1,0.431,0.416,2087519
Spencer Dinwiddie,31,PG,79,27.0,11.0,2.6,4.4,0.9,0.2,0.416,0.334,2087519
Tim Hardaway Jr.,32,SG,77,28.0,11.0,2.4,1.6,0.5,0.1,0.406,0.368,16193183
Duncan Robinson,30,SF,74,24.1,11.0,2.3,2.4,0.5,0.1,0.437,0.393,19406000
Guerschon Yabusele,29,C,70,27.1,11.0,5.6,2.1,0.8,0.3,0.501,0.38,2087519
Brice Sensabaugh,21,SF,71,20.2,10.9,3.0,1.5,0.6,0.1,0.459,0.422,2571480
Bogdan Bogdanovic,32,SG,54,25.0,10.8,2.9,2.7,0.8,0.2,0.427,0.363,17260000
Jordan Hawkins,22,SG,56,23.6,10.8,2.8,1.2,0.5,0.4,0.372,0.331,4525680
Brandon Boston Jr.,23,SG,42,23.6,10.7,3.2,2.2,1.3,0.2,0.436,0.35,596581
Grayson Allen,29,SG,64,24.1,10.6,3.0,2.1,0.8,0.3,0.448,0.426,15625000
Keon Johnson,22,SG,79,24.4,10.6,3.8,2.2,1.0,0.4,0.389,0.314,2162606
Terry Rozier,30,PG,64,25.9,10.6,3.7,2.6,0.6,0.2,0.391,0.295,24924126
Obi Toppin,26,PF,79,19.6,10.5,4.0,1.6,0.6,0.4,0.529,0.365,12975000
Jonas Valanciunas,32,C,81,18.8,10.4,7.7,2.0,0.5,0.6,0.55,0.216,9900000
Ochai Agbaji,24,SG,64,27.2,10.4,3.8,1.5,0.9,0.5,0.498,0.399,4310280
Jaylen Wells,21,SG,79,25.9,10.4,3.4,1.7,0.6,0.1,0.425,0.352,1157153
Grant Williams,26,PF,16,29.9,10.4,5.1,2.3,1.1,0.8,0.439,0.365,13025250
Kevin Porter Jr.,24,SG,75,19.8,10.3,3.7,3.4,1.1,0.2,0.449,0.311,3366937
Kevin Porter Jr.,24,SG,75,19.8,10.3,3.7,3.4,1.1,0.2,0.449,0.311,3366937
Jose Alvarado,26,PG,56,24.4,10.3,2.4,4.6,1.3,0.3,0.392,0.359,1988598
Nic Claxton,25,C,70,26.9,10.3,7.4,2.2,0.9,1.4,0.563,0.238,27556817
Herbert Jones,26,SF,20,32.4,10.3,3.9,3.3,1.9,0.5,0.436,0.306,12976362
De'Anthony Melton,26,SG,6,20.2,10.3,3.3,2.8,1.2,0.3,0.407,0.371,12822000
Isaiah Joe,25,SG,74,21.7,10.2,2.6,1.6,0.6,0.1,0.44,0.412,12991650
Tyus Jones,28,PG,81,26.8,10.2,2.4,5.3,0.9,0.1,0.448,0.414,2087519
Trendon Watford,24,PF,44,20.8,10.2,3.6,2.6,0.6,0.3,0.469,0.33,2726603
Luguentz Dort,25,SF,71,29.2,10.1,4.1,1.6,1.1,0.5,0.435,0.412,16500000
Justin Edwards,21,SF,44,26.3,10.1,3.4,1.6,1.0,0.4,0.455,0.363,425619
Derrick Jones Jr.,27,SF,77,24.3,10.1,3.4,0.8,1.0,0.4,0.526,0.356,9523810
Ausar Thompson,22,SF,59,22.5,10.1,5.1,2.3,1.7,0.7,0.535,0.224,8376000
Chris Boucher,32,PF,50,17.2,10.0,4.5,0.7,0.5,0.5,0.492,0.363,10810000
Andrew Nembhard,25,SG,65,28.9,10.0,3.3,5.0,1.2,0.2,0.458,0.291,2019699
Ziaire Williams,23,SF,63,24.5,10.0,4.6,1.3,1.0,0.4,0.412,0.341,6133005
Kevin Huerter,26,SG,69,24.3,9.9,3.0,2.3,1.0,0.3,0.425,0.338,16830357
Georges Niang,31,PF,79,21.5,9.9,3.4,1.4,0.4,0.2,0.461,0.406,8500000
Julian Champagnie,23,SF,82,23.6,9.9,3.9,1.4,0.7,0.4,0.415,0.371,3000000
Scotty Pippen Jr.,24,PG,79,21.3,9.9,3.3,4.4,1.3,0.4,0.48,0.397,2087519
Nick Smith Jr.,20,SG,60,22.8,9.9,2.1,2.4,0.3,0.1,0.391,0.34,2587200
Bub Carrington,19,PG,82,30.0,9.8,4.2,4.4,0.7,0.3,0.401,0.339,4454880
Moses Moody,22,SG,74,22.3,9.8,2.6,1.3,0.8,0.4,0.433,0.374,5803269
Amir Coffey,27,SG,72,24.3,9.7,2.2,1.1,0.6,0.1,0.471,0.409,3938271
Max Christie,21,SG,78,27.3,9.6,3.3,1.9,0.8,0.4,0.427,0.366,7142857
Kyle Filipowski,21,C,72,21.1,9.6,6.1,1.9,0.7,0.3,0.502,0.35,3000000
Miles McBride,24,PG,64,24.9,9.5,2.5,2.9,1.0,0.3,0.406,0.369,4710144
Jalen Wilson,24,PF,79,25.7,9.5,3.4,1.8,0.5,0.1,0.397,0.337,1891857
Nickeil Alexander-Walker,26,SG,82,25.3,9.4,3.2,2.7,0.6,0.4,0.438,0.381,4312500
Cole Anthony,24,PG,67,18.4,9.4,3.0,2.9,0.7,0.5,0.424,0.353,12900000
Anthony Black,21,PG,78,24.2,9.4,2.9,3.1,1.1,0.6,0.423,0.318,7607760
Max Strus,28,SF,50,25.5,9.4,4.3,3.2,0.5,0.2,0.442,0.386,15212068
Cam Whitmore,20,SF,51,16.2,9.4,3.0,1.0,0.6,0.3,0.444,0.355,3379080
Nick Richards,27,C,57,22.0,9.3,8.2,0.9,0.2,1.0,0.591,0.0,5000000
Kel'el Ware,20,C,64,22.2,9.3,7.4,0.9,0.6,1.1,0.554,0.315,4231800
Zach Edey,22,C,66,21.5,9.2,8.3,1.0,0.5,1.3,0.58,0.346,5756880
Wendell Carter Jr.,25,C,68,25.9,9.1,7.2,2.0,0.8,0.6,0.46,0.234,11950000
Noah Clowney,20,PF,46,22.7,9.1,3.9,0.9,0.5,0.5,0.358,0.333,3244080
Dalton Knecht,23,SF,78,19.2,9.1,2.8,0.8,0.3,0.1,0.461,0.376,3819120
A.J. Lawson,24,SG,26,18.7,9.1,3.3,1.2,0.5,0.2,0.421,0.327,100000
T.J. McConnell,32,PG,79,17.9,9.1,2.4,4.4,1.1,0.3,0.519,0.306,9300000
Yves Missi,20,C,73,26.8,9.1,8.2,1.4,0.5,1.3,0.547,0.0,3193200
Royce O'Neale,31,SF,75,24.5,9.1,4.7,2.2,0.9,0.5,0.423,0.406,9375000
Jared Butler,24,SG,60,17.4,9.0,1.8,3.7,0.7,0.2,0.448,0.355,745726
Marcus Smart,30,PG,34,20.0,9.0,2.1,3.2,1.1,0.3,0.393,0.348,20210284
Draymond Green,34,PF,68,29.2,9.0,6.1,5.6,1.5,1.0,0.424,0.325,24107143
Killian Hayes,23,PG,6,27.0,9.0,3.0,5.2,0.7,0.7,0.419,0.381,119972
Al Horford,38,C,60,27.7,9.0,6.2,2.1,0.6,0.9,0.423,0.363,9500000
Julian Strawther,22,SG,65,21.3,9.0,2.2,1.3,0.6,0.2,0.432,0.349,2552520
Patrick Williams,23,PF,63,25.0,9.0,3.8,2.0,0.8,0.5,0.397,0.353,18000000
Jusuf Nurkic,30,C,51,20.8,8.9,7.8,2.3,0.8,0.7,0.477,0.305,18125000
Clint Capela,30,C,55,21.4,8.9,8.5,1.1,0.6,1.0,0.559,0.0,22265280
Johnny Juzang,23,SG,64,19.8,8.9,2.9,1.1,0.6,0.1,0.429,0.376,3087519
Luke Kennard,28,SG,65,22.6,8.9,2.8,3.3,0.8,0.1,0.478,0.433,9250000
Justin Champagnie,23,SF,62,21.6,8.8,5.7,1.0,1.0,0.6,0.511,0.383,1800000
Svi Mykhailiuk,27,SF,38,20.0,8.8,2.4,2.0,0.5,0.2,0.391,0.345,3500000
